,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All ABO,All Donor Types,,"542,746","25,498","24,670","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,455","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
,Deceased Donor,,"367,299","19,635","18,699","17,583","16,534","14,725","14,038","13,431","12,250","11,570","11,163","10,868","11,043","10,622","10,442","10,553","10,591","10,660","9,913","9,359","8,668","8,540","8,234","8,126","8,044","8,034","7,777","7,732","7,695","7,639","7,509","7,204","7,282","7,322","6,753","7,061"
,Living Donor,,"175,447","5,863","5,971","5,234","6,867","6,442","5,811","5,629","5,628","5,538","5,733","5,619","5,773","6,278","6,387","5,968","6,043","6,435","6,572","6,648","6,470","6,241","6,045","5,505","4,723","4,421","3,933","3,679","3,389","3,007","2,851","2,534","2,396","2,094","1,903","1,817"
O,All Donor Types,,"245,008","11,724","11,359","10,393","10,616","9,523","8,995","8,612","8,088","7,659","7,631","7,314","7,606","7,637","7,604","7,336","7,606","7,665","7,407","7,312","6,948","6,631","6,401","6,129","5,543","5,546","5,139","5,077","4,936","4,860","4,660","4,505","4,366","4,172","3,968","4,040"
,Deceased Donor,,"166,902","9,182","8,741","8,116","7,620","6,689","6,507","6,101","5,669","5,246","5,124","4,896","5,061","4,884","4,726","4,665","4,908","4,795","4,459","4,266","4,012","3,765","3,619","3,600","3,444","3,549","3,422","3,388","3,446","3,513","3,378","3,306","3,297","3,222","3,061","3,225"
,Living Donor,,"78,106","2,542","2,618","2,277","2,996","2,834","2,488","2,511","2,419","2,413","2,507","2,418","2,545","2,753","2,878","2,671","2,698","2,870","2,948","3,046","2,936","2,866","2,782","2,529","2,099","1,997","1,717","1,689","1,490","1,347","1,282","1,199","1,069",950,907,815
A,All Donor Types,,"201,343","8,864","8,678","8,180","8,372","7,553","7,214","7,001","6,470","6,364","6,254","6,150","6,227","6,124","6,236","6,158","6,117","6,354","6,187","5,931","5,635","5,610","5,466","5,216","4,925","4,768","4,586","4,474","4,292","4,046","4,060","3,674","3,760","3,721","3,263","3,413"
,Deceased Donor,,"133,804","6,638","6,434","6,112","5,748","5,092","4,900","4,840","4,255","4,228","4,032","3,925","3,969","3,727","3,815","3,876","3,778","3,870","3,656","3,418","3,204","3,277","3,174","3,141","3,090","3,096","3,003","3,072","2,948","2,863","2,944","2,721","2,793","2,929","2,556","2,680"
,Living Donor,,"67,539","2,226","2,244","2,068","2,624","2,461","2,314","2,161","2,215","2,136","2,222","2,225","2,258","2,397","2,421","2,282","2,339","2,484","2,531","2,513","2,431","2,333","2,292","2,075","1,835","1,672","1,583","1,402","1,344","1,183","1,116",953,967,792,707,733
B,All Donor Types,,"70,744","3,709","3,531","3,194","3,233","3,061","2,672","2,587","2,366","2,284","2,196","2,164","2,164","2,314","2,191","2,259","2,083","2,254","2,121","2,064","1,887","1,847","1,745","1,661","1,663","1,568","1,459","1,322","1,320","1,236","1,214","1,102","1,117","1,093","1,041","1,022"
,Deceased Donor,,"47,796","2,892","2,679","2,480","2,279","2,171","1,900","1,862","1,600","1,524","1,424","1,432","1,421","1,424","1,347","1,478","1,326","1,415","1,266","1,230","1,023","1,039",991,966,"1,044","1,007",962,844,901,871,862,809,846,837,817,827
,Living Donor,,"22,948",817,852,714,954,890,772,725,766,760,772,732,743,890,844,781,757,839,855,834,864,808,754,695,619,561,497,478,419,365,352,293,271,256,224,195
AB,All Donor Types,,"25,631","1,201","1,102","1,050","1,180","1,030",968,860,954,801,815,859,819,825,798,768,828,822,770,700,668,693,667,625,634,569,526,538,536,504,426,457,434,419,383,402
,Deceased Donor,,"18,794",923,845,875,887,773,731,628,726,572,583,615,592,587,554,534,579,580,532,445,429,459,450,419,466,382,390,428,400,392,325,368,345,333,318,329
,Living Donor,,"6,837",278,257,175,293,257,237,232,228,229,232,244,227,238,244,234,249,242,238,255,239,234,217,206,168,187,136,110,136,112,101,89,89,86,65,73
Unknown,All Donor Types,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,11,1,1
,Deceased Donor,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
,Living Donor,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
