,,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
O,Primary,Active,9808,9486,8764,8798,7865,7284,6860,6369,6136,6073,5796,6023,5893,5876,5647,5810,5732,5419,5214,4898,4668,4409,4244,3933,3894,3686,3519,3465,3419,3183,2913,2742,2524,2285,2250
,,Urgent,0,0,1,4,3,2,7,4,2,7,1,10,8,10,9,17,11,12,9,14,4,15,16,23,26,17,20,22,17,26,32,40,25,28,45
,,Critical,0,0,2,0,2,1,3,2,2,3,5,4,0,10,7,6,5,10,14,16,16,10,5,11,11,5,6,10,3,13,6,14,5,12,27
,,Inactive,777,703,590,672,653,618,601,535,470,453,392,433,448,401,375,364,305,244,167,111,111,88,72,60,67,67,69,81,97,96,139,147,269,239,184
,Repeat,Active,1013,1038,946,1016,896,996,1036,1058,808,803,792,762,786,766,685,671,754,712,769,673,604,633,619,515,535,483,511,488,475,459,541,595,525,517,644
,,Urgent,0,0,1,2,1,1,1,2,4,6,1,4,4,3,3,4,3,2,5,6,6,4,7,6,7,8,9,8,9,10,6,8,20,13,18
,,Critical,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,1,3,3,0,2,2,1,2,1,1,2,3,2,2,7,5,11,12
,,Inactive,80,80,56,81,64,52,62,57,78,55,49,49,68,35,25,32,29,29,19,15,12,8,6,3,5,7,6,8,14,8,23,36,60,43,35
A,Primary,Active,7275,7023,6783,6810,6046,5729,5554,5077,4990,4864,4724,4746,4645,4666,4637,4495,4591,4412,4174,3877,3864,3681,3504,3382,3202,3111,3095,2865,2684,2650,2273,2235,2173,1804,1763
,,Urgent,0,0,2,2,0,1,1,2,4,0,3,6,3,2,8,8,9,8,8,6,4,8,8,15,8,17,14,9,11,13,11,15,21,25,28
,,Critical,0,0,1,2,0,0,1,0,2,2,0,2,6,6,3,2,5,6,3,10,12,5,6,7,2,3,3,3,4,3,4,5,10,9,17
,,Inactive,734,676,560,640,637,601,510,493,454,430,409,431,395,343,329,287,269,200,125,83,72,58,63,65,54,39,59,90,77,102,119,135,214,189,122
,Repeat,Active,751,873,742,804,755,777,813,786,709,662,715,676,638,692,635,624,664,636,602,554,592,551,563,485,557,504,486,482,475,456,506,534,558,479,576
,,Urgent,0,0,0,1,0,2,0,2,3,2,2,0,4,1,3,2,5,7,2,3,1,2,5,1,3,3,7,9,3,3,8,7,4,12,7
,,Critical,0,0,0,0,2,1,0,0,0,0,3,0,1,1,0,2,1,2,1,1,4,2,4,1,2,1,1,2,1,5,3,0,5,12,5
,,Inactive,70,57,55,75,71,60,87,64,60,55,51,54,39,44,32,37,36,26,22,20,6,7,10,12,5,6,6,17,17,10,28,37,52,44,34
B,Primary,Active,3132,2987,2743,2693,2560,2223,2137,1943,1871,1787,1746,1751,1832,1728,1848,1622,1744,1602,1565,1375,1307,1229,1181,1185,1167,1055,950,937,886,817,746,728,684,608,600
,,Urgent,0,0,2,2,4,1,3,3,4,3,1,2,8,3,5,3,4,7,3,4,4,6,2,10,6,6,3,16,5,5,10,12,6,6,11
,,Critical,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1,4,2,4,5,2,5,0,0,3,1,3,1,3,1,3,2,1,2,6,4
,,Inactive,264,221,171,235,206,168,174,161,152,116,127,121,130,107,105,101,84,74,39,32,34,21,25,11,19,16,9,22,24,26,27,52,53,62,48
,Repeat,Active,266,291,246,270,267,247,240,235,203,190,197,194,209,191,141,168,191,186,155,148,166,157,153,152,116,136,103,107,99,125,124,125,124,133,144
,,Urgent,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,1,0,0,1,1,3,3,1,1,2,0,1,3,3,1,2,4,2,6
,,Critical,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,2,0,0,2,1,0,2,2,3
,,Inactive,25,18,20,22,11,17,11,11,21,20,16,13,19,13,13,12,8,4,4,3,4,1,3,2,2,1,2,4,1,5,3,6,12,22,11
AB,Primary,Active,993,908,884,983,845,797,708,783,660,662,680,663,646,613,598,634,608,574,501,468,488,471,434,461,405,388,398,361,357,292,312,263,247,216,196
,,Urgent,0,0,0,2,0,0,0,0,1,2,0,2,0,1,2,0,4,1,0,1,2,1,0,0,0,2,1,0,0,0,0,2,0,2,5
,,Critical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
,,Inactive,90,78,63,59,65,67,48,64,39,47,53,44,52,41,35,33,22,28,13,9,10,7,5,1,5,6,4,7,15,10,11,8,30,18,14
,Repeat,Active,106,108,91,117,107,99,89,100,68,82,93,83,85,94,81,94,94,81,72,88,84,70,65,72,52,60,63,71,60,47,63,75,60,61,73
,,Urgent,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,2,2,2
,,Critical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
,,Inactive,9,3,10,9,10,3,8,4,16,2,7,6,5,1,4,6,4,3,1,2,0,0,0,2,0,0,0,1,1,0,3,7,4,9,8
