,,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
All ABO,All Types,All Transplant,41550,39189,35923,35790,35400,36650,36916,35313,33985,34813
,,Primary Transplant,37111,34940,31858,31685,31229,32238,32444,30970,29801,30443
,,Repeat Transplant,4439,4249,4065,4105,4171,4412,4472,4343,4184,4370
,Critical,All Transplant,41,37,19,45,46,36,29,28,29,34
,,Primary Transplant,37,29,17,42,41,28,20,21,26,24
,,Repeat Transplant,4,8,2,3,5,8,9,7,3,10
,Normal,All Transplant,31163,29760,27936,27671,26414,25216,25159,24165,23540,24406
,,Primary Transplant,28013,26667,24849,24592,23372,22240,22186,21290,20677,21414
,,Repeat Transplant,3150,3093,3087,3079,3042,2976,2973,2875,2863,2992
,Low,All Transplant,10346,9392,7968,8074,8940,11398,11728,11120,10416,10373
,,Primary Transplant,9061,8244,6992,7051,7816,9970,10238,9659,9098,9005
,,Repeat Transplant,1285,1148,976,1023,1124,1428,1490,1461,1318,1368
O,All Types,All Transplant,20349,19156,17360,17649,17162,17812,17871,17191,16433,16872
,,Primary Transplant,18258,17151,15521,15697,15254,15755,15764,15178,14467,14820
,,Repeat Transplant,2091,2005,1839,1952,1908,2057,2107,2013,1966,2052
,Critical,All Transplant,19,17,10,23,31,14,13,20,16,16
,,Primary Transplant,17,14,10,21,28,10,8,15,14,11
,,Repeat Transplant,2,3,0,2,3,4,5,5,2,5
,Normal,All Transplant,15393,14675,13668,13663,12818,12362,12177,11833,11468,11817
,,Primary Transplant,13891,13213,12268,12210,11432,10964,10773,10483,10108,10421
,,Repeat Transplant,1502,1462,1400,1453,1386,1398,1404,1350,1360,1396
,Low,All Transplant,4937,4464,3682,3963,4313,5436,5681,5338,4949,5039
,,Primary Transplant,4350,3924,3243,3466,3794,4781,4983,4680,4345,4388
,,Repeat Transplant,587,540,439,497,519,655,698,658,604,651
A,All Types,All Transplant,13458,12615,11822,11609,11594,11964,12090,11591,11379,11515
,,Primary Transplant,11898,11154,10365,10160,10129,10429,10583,10070,9874,9985
,,Repeat Transplant,1560,1461,1457,1449,1465,1535,1507,1521,1505,1530
,Critical,All Transplant,10,10,8,12,8,16,10,7,7,12
,,Primary Transplant,9,6,6,11,6,14,6,5,6,9
,,Repeat Transplant,1,4,2,1,2,2,4,2,1,3
,Normal,All Transplant,9918,9388,9054,8858,8686,8161,8266,7929,7826,8144
,,Primary Transplant,8814,8334,7952,7783,7604,7139,7260,6936,6821,7061
,,Repeat Transplant,1104,1054,1102,1075,1082,1022,1006,993,1005,1083
,Low,All Transplant,3530,3217,2760,2739,2900,3787,3814,3655,3546,3359
,,Primary Transplant,3075,2814,2407,2366,2519,3276,3317,3129,3047,2915
,,Repeat Transplant,455,403,353,373,381,511,497,526,499,444
B,All Types,All Transplant,6151,5914,5353,5236,5256,5485,5579,5170,4897,5050
,,Primary Transplant,5554,5327,4782,4688,4651,4818,4927,4542,4339,4462
,,Repeat Transplant,597,587,571,548,605,667,652,628,558,588
,Critical,All Transplant,10,7,0,8,5,6,5,1,3,5
,,Primary Transplant,9,6,0,8,5,4,5,1,3,4
,,Repeat Transplant,1,1,0,0,0,2,0,0,0,1
,Normal,All Transplant,4692,4578,4177,4129,3905,3720,3799,3488,3375,3527
,,Primary Transplant,4276,4157,3737,3708,3468,3266,3365,3070,2990,3135
,,Repeat Transplant,416,421,440,421,437,454,434,418,385,392
,Low,All Transplant,1449,1329,1176,1099,1346,1759,1775,1681,1519,1518
,,Primary Transplant,1269,1164,1045,972,1178,1548,1557,1471,1346,1323
,,Repeat Transplant,180,165,131,127,168,211,218,210,173,195
AB,All Types,All Transplant,1592,1504,1388,1296,1388,1389,1376,1361,1276,1376
,,Primary Transplant,1401,1308,1190,1140,1195,1236,1170,1180,1121,1176
,,Repeat Transplant,191,196,198,156,193,153,206,181,155,200
,Critical,All Transplant,2,3,1,2,2,0,1,0,3,1
,,Primary Transplant,2,3,1,2,2,0,1,0,3,0
,,Repeat Transplant,0,0,0,0,0,0,0,0,0,1
,Normal,All Transplant,1160,1119,1037,1021,1005,973,917,915,871,918
,,Primary Transplant,1032,963,892,891,868,871,788,801,758,797
,,Repeat Transplant,128,156,145,130,137,102,129,114,113,121
,Low,All Transplant,430,382,350,273,381,416,458,446,402,457
,,Primary Transplant,367,342,297,247,325,365,381,379,360,379
,,Repeat Transplant,63,40,53,26,56,51,77,67,42,78
