ABO,Priority,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
All ABO,All Types,3871,4102,4298,4691,4796,4753,4607,4619,4783,4678,4688
,Critical,1,1,2,1,1,2,0,4,9,10,9
,Normal,1546,1590,1587,1734,1767,1862,1783,1718,1848,1928,1955
,Low,2407,2572,2789,3047,3095,2971,2893,2979,3009,2812,2783
O,All Types,2103,2207,2231,2444,2484,2412,2383,2414,2453,2427,2458
,Critical,1,1,2,1,0,1,0,0,5,4,7
,Normal,874,902,836,929,954,988,962,909,1010,1019,1064
,Low,1263,1343,1441,1567,1567,1463,1461,1553,1493,1446,1422
A,All Types,1042,1144,1259,1374,1415,1427,1380,1367,1418,1345,1364
,Critical,0,0,0,0,1,1,0,3,3,2,1
,Normal,368,402,439,472,486,506,496,505,498,523,536
,Low,696,754,834,923,942,940,897,878,932,837,838
B,All Types,630,649,710,734,762,768,713,714,769,737,717
,Critical,0,0,0,0,0,0,0,1,1,3,0
,Normal,270,251,282,291,283,322,280,262,291,324,299
,Low,382,408,445,459,494,467,447,464,490,422,430
AB,All Types,96,102,98,139,135,146,131,124,143,169,149
,Critical,0,0,0,0,0,0,0,0,0,1,1
,Normal,34,35,30,42,44,46,45,42,49,62,56
,Low,66,67,69,98,92,101,88,84,94,107,93
