,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All ABO,,"430,872","10,739","20,092","19,186","17,159","18,018","16,310","15,212","14,745","13,878","13,302","13,282","13,040","13,207","13,519","13,636","13,156","13,283","13,612","13,273","12,973","12,225","11,879","11,576","11,000","10,116","9,762","9,022","8,726","8,398","7,806","7,460","6,810","6,664","6,400","5,713","5,693"
,O,,"233,750","5,537","10,429","10,030","8,946","9,625","8,673","8,159","7,956","7,513","7,156","7,211","7,064","7,244","7,431","7,653","7,290","7,445","7,636","7,446","7,387","7,059","6,727","6,591","6,208","5,508","5,400","4,910","4,748","4,496","4,135","3,942","3,648","3,442","3,201","3,006","2,898"
,A,,"142,715","3,711","6,873","6,568","5,897","6,016","5,440","5,139","4,934","4,597","4,399","4,392","4,282","4,257","4,328","4,360","4,237","4,207","4,329","4,254","4,074","3,772","3,808","3,684","3,508","3,330","3,185","2,993","2,930","2,857","2,700","2,593","2,302","2,371","2,350","1,969","2,069"
,B,,"43,622","1,149","2,175","2,026","1,821","1,875","1,783","1,514","1,500","1,398","1,400","1,361","1,362","1,374","1,442","1,349","1,343","1,288","1,332","1,265","1,264","1,145","1,094","1,077","1,041","1,019",946,895,832,831,774,771,663,657,656,605,595
,AB,,"10,691",341,611,561,495,502,413,400,353,370,345,317,332,332,318,274,286,343,315,308,248,249,250,224,240,246,216,224,216,213,197,139,181,189,183,131,129
,Unknown,,94,1,4,1,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,0,0,1,0,15,16,5,10,2,2
Deceased Donor,All ABO,,"252,304","7,669","14,228","13,215","11,925","11,152","9,867","9,401","9,116","8,250","7,763","7,548","7,421","7,434","7,241","7,248","7,188","7,240","7,176","6,700","6,325","5,752","5,638","5,528","5,489","5,386","5,339","5,083","5,037","5,003","4,797","4,609","4,276","4,268","4,306","3,810","3,876"
,O,,"120,293","3,695","6,870","6,379","5,661","5,322","4,665","4,504","4,363","3,977","3,683","3,614","3,463","3,566","3,449","3,458","3,403","3,547","3,423","3,214","3,028","2,812","2,634","2,586","2,603","2,494","2,540","2,428","2,345","2,400","2,305","2,212","2,064","2,021","1,957","1,810","1,798"
,A,,"94,169","2,798","5,213","4,915","4,435","4,127","3,635","3,516","3,403","3,020","2,882","2,815","2,766","2,715","2,638","2,722","2,677","2,579","2,639","2,493","2,342","2,125","2,169","2,120","2,079","2,055","2,024","1,914","1,996","1,883","1,799","1,762","1,598","1,630","1,723","1,453","1,509"
,B,,"29,140",902,"1,636","1,471","1,390","1,313","1,221","1,058","1,072",950,929,874,935,889,896,850,882,833,851,746,757,617,635,635,618,637,612,552,520,549,520,519,452,458,472,432,457
,AB,,"8,686",273,505,449,439,390,345,323,276,303,267,244,257,264,258,218,226,281,263,247,198,198,200,187,189,199,163,189,176,171,173,116,160,159,153,115,112
,Unknown,,16,1,4,1,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0
Living Donor,All ABO,,"178,568","3,070","5,864","5,971","5,234","6,866","6,443","5,811","5,629","5,628","5,539","5,734","5,619","5,773","6,278","6,388","5,968","6,043","6,436","6,573","6,648","6,473","6,241","6,048","5,511","4,730","4,423","3,939","3,689","3,395","3,009","2,851","2,534","2,396","2,094","1,903","1,817"
,O,,"113,457","1,842","3,559","3,651","3,285","4,303","4,008","3,655","3,593","3,536","3,473","3,597","3,601","3,678","3,982","4,195","3,887","3,898","4,213","4,232","4,359","4,247","4,093","4,005","3,605","3,014","2,860","2,482","2,403","2,096","1,830","1,730","1,584","1,421","1,244","1,196","1,100"
,A,,"48,546",913,"1,660","1,653","1,462","1,889","1,805","1,623","1,531","1,577","1,517","1,577","1,516","1,542","1,690","1,638","1,560","1,628","1,690","1,761","1,732","1,647","1,639","1,564","1,429","1,275","1,161","1,079",934,974,901,831,704,741,627,516,560
,B,,"14,482",247,539,555,431,562,562,456,428,448,471,487,427,485,546,499,461,455,481,519,507,528,459,442,423,382,334,343,312,282,254,252,211,199,184,173,138
,AB,,"2,005",68,106,112,56,112,68,77,77,67,78,73,75,68,60,56,60,62,52,61,50,51,50,37,51,47,53,35,40,42,24,23,21,30,30,16,17
,Unknown,,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,1,0,15,14,5,9,2,2
